RUN	ScalaGatling.SmsCommutatorPerformanceTests	smscommutatorperformancetests	1591443750705	 	3.3.1
USER	scn	1	START	1591443751139	1591443751139
USER	scn	2	START	1591443752148	1591443752148
USER	scn	3	START	1591443753148	1591443753148
USER	scn	4	START	1591443754148	1591443754148
USER	scn	5	START	1591443755148	1591443755148
USER	scn	6	START	1591443756151	1591443756151
USER	scn	7	START	1591443757148	1591443757148
USER	scn	8	START	1591443758152	1591443758152
USER	scn	9	START	1591443759152	1591443759152
USER	scn	10	START	1591443760152	1591443760152
REQUEST	1		req reply testing	1591443751187	1591443870410	OK	 
USER	scn	1	END	1591443751139	1591443870424
