RUN	ScalaGatling.SmsCommutatorPerformanceTests	smscommutatorperformancetests	1591597514802	 	3.3.1
USER	scn	1	START	1591597515512	1591597515512
USER	scn	2	START	1591597516506	1591597516506
USER	scn	3	START	1591597517506	1591597517506
USER	scn	4	START	1591597518506	1591597518506
USER	scn	5	START	1591597519506	1591597519506
USER	scn	6	START	1591597520506	1591597520506
USER	scn	7	START	1591597521506	1591597521506
USER	scn	8	START	1591597522506	1591597522506
USER	scn	9	START	1591597523506	1591597523506
USER	scn	10	START	1591597524506	1591597524506
REQUEST	1		req reply testing	1591597515630	1591597532236	OK	 
USER	scn	1	END	1591597515512	1591597532249
REQUEST	3		req reply testing	1591597517506	1591597532311	OK	 
USER	scn	3	END	1591597517506	1591597532312
REQUEST	4		req reply testing	1591597518579	1591597532336	OK	 
USER	scn	4	END	1591597518506	1591597532337
REQUEST	5		req reply testing	1591597519506	1591597532356	OK	 
USER	scn	5	END	1591597519506	1591597532356
REQUEST	7		req reply testing	1591597521506	1591597532434	OK	 
USER	scn	7	END	1591597521506	1591597532435
REQUEST	8		req reply testing	1591597522506	1591597532447	OK	 
USER	scn	8	END	1591597522506	1591597532448
REQUEST	10		req reply testing	1591597524506	1591597532499	OK	 
USER	scn	10	END	1591597524506	1591597532499
